User_ID;Group;TryCount;AmountRightGestures;TimeNeeded;Activ_Gesture_ID;Likeliehood_CP_Gesture_ID_1;Likeliehood_MC_Gesture_ID_1;Alignment_Gesture_ID_1;Likeliehood_CP_Gesture_ID_2;Likeliehood_MC_Gesture_ID_2;Alignment_Gesture_ID_2;Likeliehood_CP_Gesture_ID_3;Likeliehood_MC_Gesture_ID_3;Alignment_Gesture_ID_3;Likeliehood_CP_Gesture_ID_4;Likeliehood_MC_Gesture_ID_4;Alignment_Gesture_ID_4;Likeliehood_CP_Gesture_ID_5;Likeliehood_MC_Gesture_ID_5;Alignment_Gesture_ID_5;Likeliehood_CP_Gesture_ID_6;Likeliehood_MC_Gesture_ID_6;Alignment_Gesture_ID_6
8.0;MC;1.0;1.0;2.960261;1.0;0.584841;0.999999;0.994435;0.64829;0.0;0.0;0.132938;0.0;0.0;-0.059115;0.0;0.0;0.605311;0.0;0.0;0.177537;0.0;0.0;
8.0;MC;2.0;1.0;6.154895;1.0;0.145985;0.0;0.0;0.104988;0.0;0.0;-0.321667;0.0;0.0;0.138762;0.0;0.0;0.112932;1.000001;0.028828;-0.032901;0.0;0.0;
8.0;MC;3.0;1.0;3.094329;1.0;0.894997;0.0;0.0;0.859038;0.0;0.0;-0.269475;0.0;0.0;-0.038953;0.0;0.0;0.860918;1.0;0.045388;0.437102;0.0;0.0;
8.0;MC;4.0;2.0;3.630263;1.0;0.844467;1.000001;0.968957;0.823739;0.0;0.0;-0.047086;0.0;0.0;-0.045939;0.0;0.0;0.816291;0.0;0.0;0.432167;0.0;0.0;
8.0;MC;5.0;2.0;3.08311;1.0;0.927897;0.0;0.0;0.883966;0.0;0.0;-0.234095;0.0;0.0;-0.007595;0.0;0.0;0.89114;0.0;0.0;0.454422;1.000001;0.048923;
8.0;MC;6.0;3.0;2.457458;1.0;0.924275;1.000001;0.994333;0.907618;0.0;0.0;-0.169458;0.0;0.0;-0.023656;0.0;0.0;0.900852;0.0;0.0;0.40324;0.0;0.0;
8.0;MC;1.0;0.0;3.384787;2.0;0.890404;0.0;0.0;0.935198;0.0;0.0;-0.391798;0.0;0.0;0.088528;0.0;0.0;0.891457;1.000001;0.106198;0.267268;0.0;0.0;
8.0;MC;2.0;1.0;2.524535;2.0;0.766732;0.0;0.0;0.854575;1.0;0.989789;-0.052684;0.0;0.0;0.053081;0.0;0.0;0.80342;0.0;0.0;0.200222;0.0;0.0;
8.0;MC;3.0;1.0;3.261952;2.0;0.875578;0.0;0.0;0.921334;0.0;0.0;-0.454421;0.0;0.0;0.114046;0.0;0.0;0.849156;1.000002;0.114176;0.285951;0.0;0.0;
8.0;MC;4.0;1.0;2.156092;2.0;0.934534;0.0;0.0;0.977048;0.0;0.0;-0.260481;0.0;0.0;0.101828;0.0;0.0;0.903673;1.0;0.016937;0.373499;0.0;0.0;
8.0;MC;5.0;1.0;3.48407;2.0;0.406263;0.0;0.0;0.422944;0.0;0.0;-0.398843;0.0;0.0;0.106907;0.0;0.0;0.457203;0.999999;0.119734;0.202919;0.0;0.0;
8.0;MC;6.0;1.0;4.445839;2.0;-0.101247;1.0;0.011225;-0.096579;0.0;0.0;0.370704;0.0;0.0;-0.30356;0.0;0.0;-0.040627;0.0;0.0;-0.13123;0.0;0.0;
8.0;MC;1.0;0.0;6.545655;3.0;-0.105244;0.0;0.0;-0.013505;0.0;0.0;0.442007;0.0;0.0;0.214815;1.0;0.204099;-0.030454;0.0;0.0;-0.125719;0.0;0.0;
8.0;MC;2.0;0.0;4.501628;3.0;-0.559728;0.0;0.0;-0.563323;0.0;0.0;0.625507;0.0;0.0;-0.062101;0.0;0.0;-0.557207;0.999999;0.142543;-0.065233;0.0;0.0;
8.0;MC;3.0;0.0;4.546362;3.0;-0.391316;0.0;0.0;-0.405802;0.0;0.0;0.855123;0.0;0.0;-0.053277;0.0;0.0;-0.414064;0.0;0.0;-0.095034;0.999999;0.007725;
8.0;MC;4.0;0.0;4.122224;3.0;-0.405588;0.0;0.0;-0.411133;0.0;0.0;0.908569;0.0;0.0;-0.116271;0.0;0.0;-0.408145;0.0;0.0;-0.04684;1.000001;0.015298;
